nama pengguna,produk,review,rating,waktu transaksi
wendriruben,iPhone 8 64GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,"Fitur Terbaik:good
Sepadan dengan Harga:sepadan untuk harga murah

Hp saya telah sampai meski harus menunggu lama pada proses pengiriman nya, kesehatan baterai aman 100%,  pada body samping hp terdapat sedikit lecet. 
Hp nya bagus dan saya suka
Namun warna tidak sesuai dengan kesepakatan awal.
Terimakasih. Semoga berkah.",3,2024-04-13 15:31
c*****n,"MACBOOK AIR 2020 13inch (i3 i5 1,1GHz / i7 1,2GHz) SECOND UNIT ORIGINAL","Setelah 3 bulan pakai sinyal hp hilang, sudah chat untuk solusi kepada cs tetapi tdk diberikan jawaban yg membantu buyer, setelah baca review dan komen dri buyer lain di sosmed maupun e commerce, ternyata ada beberapa jg yg beli iphone yg di claim ""all provider"", namun dalam 3 bulan kemudian sinyal hilang, jika mmg iphone yg di claim all provider rata2 sinyal hilang dalam 3 bulan kemudian lebih baik di warning di awal dan tidak berikan claim ""All Provider"" sehingga tidak merugikan pembeli yg awam tentang hal ini.",1,2024-03-16 15:03
a*****7,iPhone  XR 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,"Baru pemakaian 3 hari tp lcd sudah rusak, giliran mau minta claim garansi gabisaa pdhl s&k di kartu garansinya bisa, ternyata gaberguna kartu garansi nya. Luorg klo mau beli pinter² pilih toko ya yg amanah",1,2024-01-19 10:46
hanafikurniawann,iPhone 11 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,"Sepadan dengan Harga:kurang puas

kecewa kirain sinyal aman baru 2 bulan lebih dah ilang aja, kirain barang beda sama yg dijual di marketplace fb ternyata sama sama hasil tukar tambah 😂",2,2023-12-21 19:33
wdyekaaprll,"MACBOOK AIR 2019 13inch (i5 1,6GHz) SECOND UNIT ORIGINAL",hrusnya bonus kartu perdana tapi pas sampe rumah kartu perdananya ga ada :(,3,2023-12-21 05:23
rodiirawan94,iPhone  XR 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,3,2023-12-14 14:37
ilyanafilah,iPhone 11 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,1,2023-12-01 19:29
nwoerl,iPhone  XR 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,"Liat penggunaan 3 hari yaa, terus kamera depannya dapet yg hasilnya merah but its okai yg lainnya aman",5,2023-11-27 04:15
h*****_,AKSESORIS (CHARGER & EARPHONE),,1,2023-11-22 18:53
muhammadhabib27,iPhone 11 Pro Max 64GB/256GB/512GB Bekas Second Original 100% | NORMAL MULUS FULLSET,,1,2023-11-19 11:02
tekbong,iPhone 12 64GB/128GB Bekas Original 100% | NORMAL MULUS FULLSET,,3,2023-11-07 18:10
u*****d,iPhone 11 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,"Layarnya katanya mulus padahal ada leceeett lumayann but isokeeyyy 👍🏻, yang disayangkan baterainya borosss abisss padahal BH 100%🫢 tapi masa turun sampe 10% dalam waktu 3 jam, padahal kondisi data wifi dll mati, ga dimainin sama sekali. Udah coba complaint tapi nda ada solusi yang oke🫢Makasih🙏",4,2023-11-06 14:23
triagusprz,SMARTPHONE APPLE  11 64 GB & 128 GB NEW GARANSI RESMI,"beli di konter, gk suka karena di krubutin sama staff ya. jadi bikin kurg nyaman 😭",3,2023-11-04 13:13
yolandamaharaniputri,iPhone 11 Pro 64GB/256GB Bekas Second Original,"Sepadan dengan Harga:Kacau bangeettt sampai skrng unit belum diterima krn bolak balik retur dg kondisi unit yang bermasalah, rugiiiiii waktu dan biaya ongkir. Sangat menyulitkan dan merugikan. Penggantian dll nya lambat sampai skrng belum diatasi dg baik. KECEWA PARAH!!!!! Hati-hati yang bakal order disini",4,2023-10-03 10:24
adellsinaga,Tempered Glass For iPhone All Type,,5,2023-05-24 11:13
faizaaaalllll,Split iPhone,,5,2023-05-20 11:04
risaryn_,Split iPhone,,5,2023-05-15 23:41
