nama pengguna,produk,review,rating,waktu transaksi
m*****w,iPhone  5s  SECOND ORIGINAL,"Hpnya mulus bgttt dapet bh 91%, pelayanannya jg bagus bgt.
Engga kecewa sih beli disini.",5,2022-06-02 09:22
f*****a,FAST CHARGING SET ORIGINAL,,5,2022-06-02 02:16
anandasusii,SPLIT PAYMENT (4),,5,2022-06-01 13:10
ixsancruzx,iPhone  5s  SECOND ORIGINAL,,5,2022-05-31 12:23
elbyci_rizkimelani,iPhone  5s  SECOND ORIGINAL,,5,2022-05-31 08:25
r*****2,iPhone XR 64GB Second ORIGINAL,,5,2022-05-31 07:37
dina.299,iPhone XS 256 GB SECOND ORIGINAL,,5,2022-05-31 05:55
yuneycorn14_,iPhone XR 64GB Second ORIGINAL,,5,2022-05-31 04:39
adityarahman008,iPhone  5s  SECOND ORIGINAL,,5,2022-05-30 16:03
jhonslem,iPhone XR 64GB Second ORIGINAL,,5,2022-05-30 13:34
agieltuluswidyananto,FAST CHARGING SET ORIGINAL,,3,2022-05-30 10:04
tututdwiikur,iPhone 11 128GB  SECOND ORIGINAL,,5,2022-05-30 08:05
wahyushap0557,Headset iPhone lightning untuk iPhone 7/8/X/XS/XR/11/12,,5,2022-05-29 09:30
l*****e,iPhone 11 128GB  SECOND ORIGINAL,"Cutieeeeeee!!!!🥹🥹✨✨✨✨✨
Suka banget beli di IfoneSpot karena Battery Health nya tinggi2 dan unitnya masih mulus bagus fisik & fungsi juga.
Kalo mau tukar tambah prosesnya jg gampang bgt, thank you ifone spot💕💕",5,2022-05-29 03:25
anggaekoprihatin,SPLIT PAYMENT (4),,5,2022-05-28 22:57
esacitra30,iPhone 11 128GB  SECOND ORIGINAL,2x order dan selalu puasss,5,2022-05-28 08:53
m*****2,iPhone  5s  SECOND ORIGINAL,,5,2022-05-28 04:28
mahendrapasya,FAST CHARGING SET ORIGINAL,Gokil!,5,2022-05-28 03:35
onetwogarage,iPhone 11 128GB  SECOND ORIGINAL,Rekomended seller,5,2022-05-27 10:31
novenn123,iPhone 11 64GB SECOND ORIGINAL,,5,2022-05-27 10:00
a*****1,iPhone XR 64GB Second ORIGINAL,"keren bgt sih ini, handphone mhulusssss bgt bh diatas 95%, sellernya jg ramah baik bgt, reccomended pokonya👍",5,2022-05-26 07:15
f*****a,SPLIT PAYMENT (4),"AH SUKAAA BANGETTT GAK ADA CACAT SAMA SEKALI  !! DAPET BH DIATAS 90% 
KUALITAS OK HARGA LEBIH OKE DAN PELAYANAN NYA OKE BANGETTT ‼️ THANKS YAAA IFONE 💗💗💗",5,2022-05-26 07:11
kalunna1,iPhone  5s  SECOND ORIGINAL,,5,2022-05-25 23:48
e*****a,iPhone 8 64GB SECOND ORIGINAL,"awalnya ragu mau beli hp di shopee, tapiii toko ini trusted bangett pengirimannya juga cepet dan adminnya juga ramah🥺 udahh pemakaian satu mingguan dan alhamdullilahh ngga ada kendala apapun🥰❤️",5,2022-05-25 11:06
ersaalfrian,Headset iPhone lightning untuk iPhone 7/8/X/XS/XR/11/12,,5,2022-05-25 10:54
kylashkr,iPhone XR 64GB Second ORIGINAL,,5,2022-05-24 01:48
f*****9,FAST CHARGING SET ORIGINAL,,5,2022-05-23 15:02
rifistoree,iPhone 11 64GB SECOND ORIGINAL,"Kerennn, admin nya ramah dan baik.
Packingan aman & bagusss.

Kualitas oke, barang ori",5,2022-05-23 12:23
annindria_,iPhone  5s  SECOND ORIGINAL,,5,2022-05-22 18:16
fennierline,FAST CHARGING SET ORIGINAL,,5,2022-05-22 13:40
fennierline,Headset iPhone lightning untuk iPhone 7/8/X/XS/XR/11/12,,5,2022-05-22 13:40
tokobundatelur,iPhone  5s  SECOND ORIGINAL,,5,2022-05-21 11:58
l*****w,FAST CHARGING SET ORIGINAL,,5,2022-05-20 12:02
muticanci,iPhone 6 64gb Second,Bagus kak,5,2022-05-20 08:21
kasma_kk,iPhone 6 64gb Second,,5,2022-05-20 01:34
kasma_kk,iPhone 11 64GB SECOND ORIGINAL,Mantul banget dri jogja ke mkassar aman terkendali.,5,2022-05-20 01:34
dentyfertami12,iPhone 11 64GB SECOND ORIGINAL,,4,2022-05-19 16:22
addrskaml,iPhone 6 64gb Second,,5,2022-05-19 08:19
