nama pengguna,produk,review,rating,waktu transaksi
annisawinadia,iPhone 8Plus 64GB/256GB Second Original 100% | NORMAL MULUS FULLSET,,4,2022-06-10 12:02
lourensiaaa,iPhone 11 Pro 64GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,Makasih ya kak datengnya cepet barangnya juga bagus love it,5,2022-06-10 10:05
wisnubrata283,iPhone 12 ProMax 128GB/256GB/512GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2022-06-10 10:01
melindaariska12,AKSESORIS,,5,2022-06-10 06:09
nadilaafatesa,Leather Case Silicone For Apple IPhone Original,,5,2022-06-10 05:09
123456789icang,iPhone 8Plus 64GB/256GB Second Original 100% | NORMAL MULUS FULLSET,Hp aku baru pemakaian 1 bulan tombol volumenya udah ngak berfungsi😭😭 kasian udah nabung selama 1 tahun juga ujung2nya udah ngk bisa,4,2022-06-10 03:06
deni_aldo_saputra,iPhone 11 Pro Max 64GB/256GB/512GB Bekas Second Original 100% | NORMAL MULUS FULLSET,"pemakaian 1 bulan besok, kondisi mulus dan baik. minta bh 90 ke atas dikasih 88% oke gpp tapi selama 1 bulan ini belum berkurang dan aman. terimakasih applehousestore",5,2022-06-10 00:10
m*****8,iPhone 11 Pro 64GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,,5,2022-06-09 13:57
rinaymehan,iPhone 7 32GB/128GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,,5,2022-06-09 06:55
intanwidjaya,iPhone  XR 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2022-06-09 06:06
chasnaf,Leather Case Silicone For Apple IPhone Original,,5,2022-06-09 03:37
syafriadi27,iPhone 11 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2022-06-09 03:22
_*****8,iPhone 7 32GB/128GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,,5,2022-06-09 02:44
f*****e,Leather Case Silicone For Apple IPhone Original,,5,2022-06-08 13:34
n*****4,iPhone X 64GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,,4,2022-06-08 13:08
adisssul,Leather Case Silicone For Apple IPhone Original,,5,2022-06-08 12:44
vida.bsb,AKSESORIS,gapernah kecewa beli disini selalu puas. cepet bgt sampenya cuma sehari dr pemesanan 🥰,5,2022-06-08 10:16
ratnakurnia02,Leather Case Silicone For Apple IPhone Original,,5,2022-06-08 09:34
cylviacahya,iPhone  XR 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,4,2022-06-08 07:54
d*****n,iPhone 12 64GB/128GB Bekas Original 100% | NORMAL MULUS FULLSET,makasih mint . semuanya mulus cuman di camera ada cacat sedikit tp gpp best pengiriman kilattt bgt,5,2022-06-08 06:29
hernindatarisaputri,Leather Case Silicone For Apple IPhone Original,,5,2022-06-08 06:01
t*****5,iPhone X 64GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,,5,2022-06-08 03:53
gandamarryos,AKSESORIS,,5,2022-06-07 15:51
fransiska_nery22,iPhone X 64GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,,5,2022-06-07 12:13
iranurimaya,iPhone  XR 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2022-06-07 11:04
imamaffandiz,iPhone 11 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2022-06-07 10:04
wahyuumiftahul,iPhone 11 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2022-06-07 10:02
liacorner02,iPhone 11 Pro Max 64GB/256GB/512GB Bekas Second Original 100% | NORMAL MULUS FULLSET,,5,2022-06-07 09:51
mauliida95,AKSESORIS,,5,2022-06-07 06:49
yosisetiyanto,AKSESORIS,,5,2022-06-07 06:28
hezkiezra,iPhone  XR 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2022-06-07 05:56
r*****a,iPhone  XR 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,pengiriman cepat & packing relatif aman. unit sesuai. hanya saja terdapat dent / penyok pada bagian besel kiri atas dan juga terdapat scratch / bekas benturan (retak minor) pada bagian screen. yang mana tidak tertera pada lembar QC. selebihnya menurut saya pengemasan cepat dan responsive.,4,2022-06-07 01:13
keziacharisa,Leather Case Silicone For Apple IPhone Original,,5,2022-06-06 13:22
e*****k,iPhone  XR 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,Bagus ga nyesel beli disini makasih minn. Packing aman. Cuma baru 2 hr pakai bh sudah turun.,5,2022-06-06 13:00
piuwpouw_,AKSESORIS,,5,2022-06-06 12:16
dingdingpakdingoyyy,iPhone  XR 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2022-06-06 11:11
findakusuma11,iPhone 11 Pro Max 64GB/256GB/512GB Bekas Second Original 100% | NORMAL MULUS FULLSET,,5,2022-06-06 08:40
n*****a,iPhone XS 64GB/256GB/512GB Bekas Second Original 100% | NORMAL MULUS FULLSET,terpercaya insyyllah🥹😍,5,2022-06-06 05:08
yogialilgumilang,AKSESORIS,,4,2022-06-06 04:14
etasalsabila,Leather Case Silicone For Apple IPhone Original,,5,2022-06-05 15:28
alviansyahv,iPhone 11 Pro 64GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,,5,2022-06-05 10:14
e*****i,iPhone 12 ProMax 128GB/256GB/512GB Bekas Original 100% | NORMAL MULUS FULLSET,,4,2022-06-05 09:47
inezboemerang,iPhone 12 ProMax 128GB/256GB/512GB Bekas Original 100% | NORMAL MULUS FULLSET,,3,2022-06-05 07:58
epuhhh,iPhone  XR 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2022-06-05 07:36
pegihero,iPhone 11 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,"Thanks gan, produk mendarat dengan selamat. 
Mantap pokoknya👍",5,2022-06-05 07:33
widya31.wp,iPhone 11 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,Kemarin langsung beli ke storenya terus pembelian dan pembayaran via shopee. Dapet warna merah karena stoknya tinggal merah dan hitam. Pilih warna merah karena milih yang pling oke kondisinya. Dapet Batre health 86% Garansi 1 Bulan. Toko terpercaya. Sejauh ini aman dan oke barangnya.,5,2022-06-05 06:40
e*****_,iPhone 8 64GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,Bagusss,5,2022-06-04 16:19
dcsthrift,AKSESORIS,,5,2022-06-04 13:25
isnantosetiawan20wawan,iPhone 11 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,"barang muluzzzzz moga awett, tpi cmn dapet bh 85% tpi ga papa",3,2022-06-04 12:02
mutiakeisya,AKSESORIS,,4,2022-06-04 03:32
galihress,iPhone 8 64GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,"Bagus 🙌🏻
Dapet batre healt 91%
Saya cek original 
Ime aman 👌🏻",5,2022-06-04 03:14
thirteenshrimp,iPhone XS 64GB/256GB/512GB Bekas Second Original 100% | NORMAL MULUS FULLSET,,5,2022-06-03 22:27
a*****1,iPhone 7 32GB/128GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,"mantap sesuai, 100% fungsi normal. nokendala, 97% mulus. tapi bolongan charger longgar bgt, lagi di cas hp diangkat aja jatoh sendiri hadeh.",4,2022-06-03 13:48
emerentyaprimasari,AKSESORIS,,5,2022-06-03 11:09
nabilaade15,AKSESORIS,,5,2022-06-03 09:58
ahmad_fany407,iPhone  XR 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,"Ok,
Pesen biru tapi sayang ga ada",5,2022-06-03 09:55
ilham_jnyntr,iPhone  XR 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2022-06-03 05:47
adhime,iPhone X 64GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,,5,2022-06-03 05:37
davit0808,iPhone  XR 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2022-06-03 04:56
a*****l,iPhone  XR 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,"Lainnya bagus, kecuali di bagian kamera banyak lecetnya thanks you",4,2022-06-03 03:41
hilfah,iPhone 11 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,"Allhamdulillah mendarat dengan aman,packing aman pakai kayu,bh 88% fisik mulus 100% mantap 😍😍👍👍",5,2022-06-02 23:42
hida2507,iPhone 8 64GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,niceee produk dan pengiriman okeeee bangett,5,2022-06-02 22:50
sinopit123,iPhone 12 Pro 128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,"Udah langganan dr jaman kuliah d jogja. Sampai skrng udh mau punya baby. Selalu awet beli d sini. Dan aku jg slalu tuker tambah. Dr iphone 5,6 plus, 7plus, skrng 12 pro. Pelayanan jauh semakin bagus juga. Ths seller. Semoga bisa TT sama yg promax. Segera. Amminnn",5,2022-06-02 18:29
dienezukhrufyahkhairunnisa,Khusus Split,,5,2022-06-02 14:07
yohanamegaao,AKSESORIS,"Barangnya berat, ori 100%, semoga awet. Thanks seller",5,2022-06-02 09:48
prio.prasojo95,iPhone 11 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2022-06-02 09:23
nescaveices,iPhone 11 Pro 64GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,,5,2022-06-02 08:36
sucimelati16_,Leather Case Silicone For Apple IPhone Original,,5,2022-06-02 06:14
hudaa5566,Leather Case Silicone For Apple IPhone Original,,5,2022-06-02 01:12
